,count
0.35,14477
0.36,14350
0.33,14256
0.39,14233
0.4,14202
0.34,14185
0.32,14163
0.37,14076
0.31,14071
0.38,14058
0.41,14042
0.3,13845
0.29,13817
0.42,13721
0.43,13582
0.44,13394
0.28,13390
0.45,13357
0.27,13171
0.46,13169
0.26,12986
0.47,12825
0.25,12610
0.48,12484
0.24,12293
0.49,12191
0.23,12155
0.5,12001
0.51,11638
0.52,11558
0.22,11471
0.21,11326
0.53,11014
0.2,10769
0.54,10753
0.19,10559
0.55,10485
0.56,10294
0.18,9986
0.57,9703
0.58,9448
0.17,9389
0.59,9218
0.16,8838
0.6,8656
0.61,8459
0.15,8413
0.62,8112
0.63,7777
0.14,7596
0.64,7456
0.13,7204
0.65,7125
0.66,6751
0.67,6599
0.12,6552
0.68,6160
0.69,5841
0.11,5814
0.7,5660
0.71,5387
0.1,5346
0.72,5275
0.73,5074
0.74,4778
0.09,4770
0.75,4563
0.76,4479
0.77,4232
0.78,4093
0.08,3974
0.79,3855
0.8,3633
0.81,3497
0.07,3418
0.82,3238
0.83,3160
0.84,2852
0.06,2842
0.85,2649
0.86,2356
0.87,2245
0.05,2185
0.88,1925
0.89,1835
0.04,1640
0.9,1555
0.91,1343
0.92,1112
0.03,1067
0.93,920
0.94,808
0.02,654
0.95,638
0.96,511
0.97,384
0.418,337
0.348,324
0.408,318
0.3379999999999999,315
