,count
0.1486051981724629,5244
0.1492959405151397,5123
0.1493027820395613,5080
0.15204226552076,4818
0.1497182856605673,4796
0.1521916594866909,4735
0.14972433229168,4716
0.1490503728973009,4714
0.1518582361451036,4713
0.1490219309687611,4678
0.1496361647835095,4656
0.1523034108699417,4472
0.1522112035704942,4427
0.1516365414568271,4422
0.1502805196498015,4415
0.1526140046321185,4363
0.1524638157728787,4355
0.1494225000255053,4265
0.1520371105135712,4062
0.1528555584367861,3932
0.1520867801997338,2228
0.1523754493909378,2196
0.1527477995460193,2160
0.1525719488021452,2158
0.1522775932191968,2113
0.1519061937364445,2109
0.1521638651517518,2001
0.1527803024314278,1982
0.1522978895540138,1885
0.1516842941267311,1880
0.148174870500438,1871
0.152993499054264,1846
0.1526999383646244,1845
0.1478658897136536,1841
0.1485964207525567,1841
0.1511189276862943,1838
0.153170144691447,1837
0.1509143539816367,1832
0.1523513684612826,1791
0.1525083304518525,1789
0.1515641024111324,1746
0.1528206241157758,1742
0.1483110644384916,1740
0.1513359042337554,1716
0.1520848631834752,1690
0.1525644342084959,1645
0.1529422444203057,1644
0.1491246180928481,1600
0.1433425364349582,1579
0.1534246572977197,1572
0.1482521035509841,1558
0.1482089728272848,1552
0.1490999310742458,1546
0.1486526726077283,1523
0.1429201912895306,1510
0.1494214514864754,1491
0.1487912494419491,1475
0.1520203370643993,1430
0.1487796807518325,1428
0.1460609743309365,1427
0.1510515478776037,1425
0.144177594925201,1416
0.1508667140390501,1405
0.1514620107999256,1402
0.1500658063527672,1399
0.1435146630869928,1394
0.1494240356181244,1393
0.1437560446730823,1392
0.1518394145554445,1383
0.1439598378118308,1380
0.1464833194763641,1373
0.1495469632382758,1357
0.1495214813263646,1354
0.15199649027346,1321
0.151405859930015,1310
0.1491918184986932,1291
0.1513574795561605,1291
0.1486541475521229,1283
0.1512672830957943,1273
0.1250403051057158,1272
0.1516959027438956,1270
0.1467677010596335,1258
0.1487861309495353,1256
0.1264498024748249,1255
0.1522609648075633,1244
0.1464955281542809,1236
0.1469170784063997,1233
0.1247641706261426,1230
0.1252001894000924,1229
0.1267056528424945,1217
0.1492084760949629,1207
0.1472128757844716,1197
0.1517798247015881,1193
0.144299955729908,1190
0.1524426822098269,1183
0.1292142858332923,1183
0.1268949771996629,1176
0.1519071855247636,1174
0.1258445442663843,1151
0.1273389672902598,1147
