,count
0.4951744409644786,550
0.4951977916406697,530
0.4953049046601799,451
0.4931940483149554,443
0.4954138694847583,440
0.4947891940417602,437
0.4957064469154153,421
0.4937260074844426,415
0.4957077812025399,404
0.4949958337201587,392
0.4950286189470594,392
0.4947626483271695,392
0.4952275667493488,387
0.4954309810142686,382
0.4934334552263895,377
0.495090456815158,359
0.4954670158396943,357
0.4953211922001522,355
0.4954745894806773,346
0.4934865969079487,345
0.4941252408184999,340
0.4951491020765969,339
0.4936583637463846,338
0.495272629429098,327
0.4940430992372867,323
0.4954858724483464,321
0.4952013360562605,315
0.4954185795367399,313
0.4953920387459885,311
0.4953802229303532,309
0.495628669830552,308
0.4956598384335949,300
0.4950394414631698,298
0.4956743015973446,297
0.4951029435339278,293
0.4948543346191391,293
0.4952344159922192,292
0.4950817645235352,287
0.4961720495224678,285
0.495573007109571,284
0.495478869507535,283
0.4954163895589416,283
0.4957709214900049,283
0.4951245881810937,282
0.4956400349968768,281
0.4931484207771145,277
0.4951674357846362,275
0.494876580150131,272
0.4954041966774002,272
0.4931242523145468,269
0.4955899518602847,269
0.4955958356378099,267
0.4956645948637694,267
0.4933619635041408,264
0.4953423714047943,264
0.4953017578037966,263
0.4954346967310296,262
0.4955712367910432,261
0.4958653174252631,261
0.4961386670081481,260
0.4953577769097573,259
0.4952990410440503,259
0.4933815883174302,258
0.4955119371011034,255
0.4954068642417203,253
0.495104638493286,253
0.4936558339138145,253
0.4958783773477308,252
0.4950448086556436,251
0.4961243965016248,251
0.4952714231403343,248
0.495556469991539,248
0.4947193926577361,248
0.4955216437824334,247
0.4958890738191611,246
0.4950575449498945,246
0.4945750805076707,243
0.4959586764282405,242
0.4953440663796611,241
0.4949637127830459,241
0.4954119682602134,240
0.4934251927997722,238
0.4950453446324188,238
0.4961568780067037,238
0.4955322312931972,237
0.4951979997479852,235
0.4958580570112854,234
0.4941048001177656,234
0.4959054719152692,234
0.495687361435514,233
0.4953010631496934,233
0.4950309619781708,233
0.4954676056847328,233
0.4958509343415183,230
0.4931225575132738,230
0.4958794675066437,230
0.4959448891751462,230
0.4934065969746755,229
0.4953755017363184,229
0.4956088954402464,229
