,count
0.27,4490
0.28,4454
0.26,4356
0.29,4353
0.31,4352
0.33,4348
0.32,4337
0.3,4323
0.34,4314
0.23,4304
0.25,4284
0.24,4278
0.22,4218
0.36,4203
0.35,4200
0.21,4165
0.37,4123
0.38,4065
0.39,3982
0.2,3971
0.19,3960
0.41,3849
0.42,3809
0.18,3792
0.4,3782
0.17,3706
0.43,3706
0.44,3617
0.45,3612
0.16,3579
0.46,3517
0.47,3492
0.48,3437
0.15,3433
0.14,3399
0.5,3327
0.49,3322
0.13,3167
0.51,3146
0.52,3100
0.53,3056
0.54,3004
0.55,2997
0.12,2934
0.56,2893
0.58,2825
0.11,2759
0.57,2752
0.59,2701
0.61,2687
0.6,2630
0.1,2573
0.63,2552
0.62,2516
0.66,2454
0.65,2449
0.64,2438
0.09,2404
0.67,2359
0.69,2296
0.73,2293
0.7,2292
0.68,2287
0.71,2264
0.72,2223
0.77,2218
0.74,2195
0.75,2193
0.76,2151
0.78,2144
0.08,2051
0.79,2033
0.8,1997
0.81,1935
0.07,1835
0.82,1816
0.83,1810
0.84,1709
0.06,1633
0.85,1631
0.3585,1558
0.86,1538
0.3185,1533
0.3785,1524
0.2985,1500
0.3285,1484
0.3385,1470
0.3485,1462
0.2885,1462
0.3685,1460
0.3985,1445
0.3885,1442
0.05,1438
0.3085,1436
0.87,1401
0.4085,1380
0.4385,1375
0.4185,1364
0.4285,1354
0.2585,1352
