,count
0.4999296131395682,227
0.4999338907363578,219
0.4999311699829663,211
0.4999309495494296,206
0.4999365763112475,199
0.4997764038819631,195
0.499955830029272,192
0.4997795679938392,187
0.4999497299031117,184
0.4997847509084254,183
0.4997372473098375,174
0.4997498549598539,174
0.4997882741078795,172
0.4997263962060235,172
0.4997309641216301,170
0.4997194604035951,167
0.4997772664753139,163
0.4999517097665558,163
0.4998091292362159,162
0.4997856454208033,161
0.4997324524196546,159
0.4999526249562598,159
0.499772581156395,158
0.4999307905783556,157
0.4997663917064195,156
0.4997266666883536,154
0.4997422353685197,153
0.4997679309851665,153
0.4997489848347395,153
0.4997540280433699,152
0.4999897693244606,151
0.4997437265637693,151
0.4998069783941289,151
0.4997672438196482,149
0.4997317512060261,148
0.4999464330659342,148
0.499753206173918,148
0.4999252044623714,147
0.4999301178318527,147
0.4997526063321976,147
0.4998173817501877,147
0.4997617940388885,147
0.4998066049185251,146
0.4998038341567947,146
0.4997726309781555,145
0.4999201623485662,145
0.4999702969370124,144
0.4999290825368147,143
0.4997402206149463,141
0.4998073619689953,140
0.4997557612335123,140
0.4997304335190199,139
0.4999833999385712,139
0.4999876928974692,138
0.4998080397281102,138
0.4997973549021478,138
0.4999838984243217,138
0.4997573542901685,138
0.4997605647183906,138
0.4997798596889018,137
0.4999034862058508,136
0.4997747882561729,136
0.4997504554903249,136
0.4997421985420773,136
0.4997842203057598,136
0.4997384624649622,135
0.499899352893614,135
0.4999910571543934,134
0.499722623302594,133
0.4997998626380165,133
0.4997207435746824,133
0.4997719104590135,132
0.4997964204208449,132
0.499809548022759,131
0.4997477840436845,131
0.4997344755293545,131
0.4997464127429947,130
0.4997459204012452,129
0.4998021778375252,129
0.4998141356374903,129
0.4997580075219604,129
0.4999060833904897,128
0.4997534119153207,128
0.4997517061327787,128
0.4999155989137677,127
0.4999500442963296,127
0.4998204368241067,127
0.4997823138144728,127
0.4997829241225922,127
0.4999162334626744,126
0.4997472534410557,126
0.4997805812567106,126
0.499773822907808,125
0.499957535812219,123
0.4997530626950429,122
0.4999149873859874,122
0.4997855234241084,122
0.4997567918146945,121
0.4997668191385432,121
0.4999662379239315,121
