Index,len,Filename,p,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,FP/P
723082,746892,LogReg_alpha_0_5_Medium_Run_0,0.4330421593880731,0,1,1.0,663818,12626,114520,11736,0.48173384779574746,0.10000316816626537
169672,178860,LogReg_alpha_0_5_Easy_Run_0,0.3419439250909909,1,0,0.0,663818,12626,119165,7091,0.3596388902977126,0.10000316816626537
765366,797140,LogReg_alpha_balanced_Hard_Run_0,0.8451693540200386,1,0,0.0,663818,12626,106979,19277,0.6042378459705984,0.10000316816626537
723434,747057,LogReg_alpha_balanced_Medium_Run_0,0.8103011068214437,0,1,1.0,663818,12626,114704,11552,0.47778972619736954,0.10000316816626537
169766,178967,LogReg_alpha_balanced_Easy_Run_0,0.7395797332309803,2,1,0.3333333333333333,663819,12625,119239,7017,0.3572446797678444,0.09999524775060195
141251,153535,RFC_Hard_Run_0,0.2063731581282164,2,0,0.0,663819,12625,117262,8994,0.4160229427818123,0.09999524775060195
49235,60369,RFC_Medium_Run_0,0.2263972205674477,0,1,1.0,663821,12623,118516,7740,0.38010116387565684,0.09997940691927512
17167,18547,RFC_Easy_Run_0,0.1923900574589341,2,0,0.0,663818,12626,121034,5222,0.2925818018825639,0.10000316816626537
765545,797100,RUSBoost_Hard_Run_0,0.5004011330549983,1,0,0.0,663818,12626,107177,19079,0.601766282920675,0.10000316816626537
723111,746852,RUSBoost_Medium_Run_0,0.500353832461257,1,0,0.0,663818,12626,114564,11692,0.4807961181018176,0.10000316816626537
169530,178670,RUSBoost_Easy_Run_0,0.5002586037450886,2,1,0.3333333333333333,663818,12626,119162,7094,0.35973630831643,0.10000316816626537
645280,669767,AdaBoost_Hard_Run_0,0.4995665986283546,1,0,0.0,663818,12626,111870,14386,0.5325781134310676,0.10000316816626537
671703,695172,AdaBoost_Medium_Run_0,0.4992947512060144,1,0,0.0,663818,12626,114594,11662,0.4801548089591568,0.10000316816626537
86611,92744,AdaBoost_Easy_Run_0,0.4981072785163812,1,0,0.0,663818,12626,119659,6597,0.34318264578889873,0.10000316816626537
208,232,BalBag_Hard_Run_0,0.8933333333333333,1,0,0.0,663370,13074,107073,19183,0.5946926248566202,0.10355151438347485
2364,2507,BalBag_Medium_Run_0,0.8999999999999998,2,1,0.3333333333333333,658193,18251,111387,14869,0.4489432367149758,0.1445555062729692
54105,56388,BalBag_Easy_Run_0,0.8583333333333334,31,17,0.3541666666666667,663829,12615,117651,8605,0.40551366635249764,0.09991604359396782
