Index,,len,Filename,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
39,61,BRFC_alpha_0_5_Hard_Run_0,0.67,0.68,4865,2431,0.33,626075,50369,72878,53378,0.51,0.42,0.40
92,111,BRFC_alpha_0_5_Medium_Run_0,0.77,0.78,2044,1000,0.33,645233,31211,98559,27697,0.47,0.22,0.25
115,126,BRFC_alpha_0_5_Easy_Run_0,0.84,0.85,1993,1000,0.33,661696,14748,115984,10272,0.41,0.08,0.12
40,63,BRFC_alpha_0_6_Hard_Run_0,0.67,0.68,4927,2443,0.33,624592,51852,72314,53942,0.51,0.43,0.41
85,114,BRFC_alpha_0_6_Medium_Run_0,0.73,0.73,2009,1001,0.33,625810,50634,89013,37243,0.42,0.29,0.40
114,126,BRFC_alpha_0_6_Easy_Run_0,0.86,0.87,1992,1000,0.33,659440,17004,114965,11291,0.40,0.09,0.13
41,64,BRFC_alpha_0_7_Hard_Run_0,0.67,0.68,4683,2370,0.34,626762,49682,73287,52969,0.52,0.42,0.39
84,115,BRFC_alpha_0_7_Medium_Run_0,0.73,0.73,2092,1060,0.34,625003,51441,89124,37132,0.42,0.29,0.41
115,126,BRFC_alpha_0_7_Easy_Run_0,0.90,0.91,1973,1000,0.34,661412,15032,115990,10266,0.41,0.08,0.12
41,64,BRFC_alpha_0_8_Hard_Run_0,0.66,0.67,4763,2414,0.34,623070,53374,71581,54675,0.51,0.43,0.42
80,115,BRFC_alpha_0_8_Medium_Run_0,0.71,0.71,2050,1031,0.33,614543,61901,84966,41290,0.40,0.33,0.49
115,126,BRFC_alpha_0_8_Easy_Run_0,0.93,0.94,2066,1000,0.33,660999,15445,115992,10264,0.40,0.08,0.12
41,65,BRFC_alpha_0_85_Hard_Run_0,0.66,0.67,4831,2397,0.33,621309,55135,70811,55445,0.50,0.44,0.44
85,114,BRFC_alpha_0_85_Medium_Run_0,0.74,0.74,2003,1001,0.33,626429,50015,90560,35696,0.42,0.28,0.40
118,126,BRFC_alpha_0_85_Easy_Run_0,0.96,0.96,1984,1000,0.34,666605,9839,119017,7239,0.42,0.06,0.08
42,65,BRFC_alpha_0_9_Hard_Run_0,0.66,0.67,4671,2363,0.34,624462,51982,72308,53948,0.51,0.43,0.41
82,113,BRFC_alpha_0_9_Medium_Run_0,0.73,0.74,2094,1038,0.33,622323,54121,88967,37289,0.41,0.30,0.43
117,126,BRFC_alpha_0_9_Easy_Run_0,0.97,0.97,2041,1000,0.33,664160,12284,118040,8216,0.40,0.07,0.10
42,65,BRFC_alpha_0_95_Hard_Run_0,0.66,0.67,4717,2340,0.33,622858,53586,71554,54702,0.51,0.43,0.42
81,113,BRFC_alpha_0_95_Medium_Run_0,0.73,0.73,2030,1000,0.33,620499,55945,88572,37684,0.40,0.30,0.44
120,126,BRFC_alpha_0_95_Easy_Run_0,0.99,0.99,1921,1000,0.34,669380,7064,121047,5209,0.42,0.04,0.06
40,64,BRFC_alpha_balanced_Hard_Run_0,0.66,0.67,4973,2444,0.33,621292,55152,70938,55318,0.50,0.44,0.44
84,114,BRFC_alpha_balanced_Medium_Run_0,0.73,0.73,2182,1075,0.33,622589,53855,88741,37515,0.41,0.30,0.43
117,126,BRFC_alpha_balanced_Easy_Run_0,0.95,0.95,2012,1003,0.33,664469,11975,118049,8207,0.41,0.07,0.09
67,75,EEC_Hard_Run_0,0.53,0.53,2619,1271,0.33,651671,24773,108242,18014,0.42,0.14,0.20
70,87,EEC_Medium_Run_0,0.53,0.53,2306,1166,0.34,647444,29000,105928,20328,0.41,0.16,0.23
53,54,EEC_Easy_Run_0,0.53,0.54,2144,1097,0.34,676444,0,126256,0,,0.00,0.00
84,119,KBFC_alpha_0_5_gamma_0_0_Hard_Run_0,0.35,0.36,2017,1000,0.33,632350,44094,84045,42211,0.49,0.33,0.35
98,125,KBFC_alpha_0_5_gamma_0_0_Medium_Run_0,0.33,0.34,2025,1000,0.33,640278,36166,98860,27396,0.43,0.22,0.29
120,127,KBFC_alpha_0_5_gamma_0_0_Easy_Run_0,0.36,0.37,2012,1000,0.33,666877,9567,120253,6003,0.39,0.05,0.08
80,119,KBFC_alpha_balanced_gamma_0_0_Hard_Run_0,0.72,0.72,1973,1000,0.34,624228,52216,80649,45607,0.47,0.36,0.41
99,126,KBFC_alpha_balanced_gamma_0_0_Medium_Run_0,0.73,0.74,2003,1000,0.33,640320,36124,99060,27196,0.43,0.22,0.29
121,127,KBFC_alpha_balanced_gamma_0_0_Easy_Run_0,0.75,0.76,1996,1001,0.33,668650,7794,121256,5000,0.39,0.04,0.06
84,119,KBFC_alpha_0_5_gamma_1_0_Hard_Run_0,0.41,0.42,2004,1000,0.33,632467,43977,84137,42119,0.49,0.33,0.35
100,125,KBFC_alpha_0_5_gamma_1_0_Medium_Run_0,0.41,0.42,1974,1000,0.34,644109,32335,100959,25297,0.44,0.20,0.26
119,127,KBFC_alpha_0_5_gamma_1_0_Easy_Run_0,0.41,0.42,2060,1000,0.33,664997,11447,119253,7003,0.38,0.06,0.09
82,119,KBFC_alpha_0_5_gamma_2_0_Hard_Run_0,0.44,0.44,2000,1000,0.33,628260,48184,82297,43959,0.48,0.35,0.38
98,126,KBFC_alpha_0_5_gamma_2_0_Medium_Run_0,0.44,0.44,2005,1000,0.33,638240,38204,98037,28219,0.42,0.22,0.30
118,127,KBFC_alpha_0_5_gamma_2_0_Easy_Run_0,0.44,0.44,2015,1001,0.33,662519,13925,118250,8006,0.37,0.06,0.11
87,120,LogReg_alpha_0_5_Hard_Run_0,0.32,0.32,2046,1000,0.33,633816,42628,87060,39196,0.48,0.31,0.34
101,126,LogReg_alpha_0_5_Medium_Run_0,0.32,0.32,2020,1000,0.33,642517,33927,101671,24585,0.42,0.19,0.27
120,127,LogReg_alpha_0_5_Easy_Run_0,0.34,0.35,1990,1000,0.33,665982,10462,120253,6003,0.36,0.05,0.08
87,120,LogReg_alpha_balanced_Hard_Run_0,0.72,0.73,1993,1000,0.33,634134,42310,87421,38835,0.48,0.31,0.34
102,126,LogReg_alpha_balanced_Medium_Run_0,0.72,0.73,1999,1000,0.33,644445,31999,102762,23494,0.42,0.19,0.25
120,127,LogReg_alpha_balanced_Easy_Run_0,0.74,0.75,2077,1000,0.32,665919,10525,120255,6001,0.36,0.05,0.08
101,124,RFC_Hard_Run_0,0.19,0.19,1959,1050,0.35,643818,32626,104228,22028,0.40,0.17,0.26
94,119,RFC_Medium_Run_0,0.20,0.21,2077,1022,0.33,637874,38570,102188,24068,0.38,0.19,0.31
108,119,RFC_Easy_Run_0,0.18,0.19,2193,1020,0.32,651470,24974,116184,10072,0.29,0.08,0.20
87,120,RUSBoost_Hard_Run_0,0.50,0.50,1917,1000,0.34,634266,42178,87597,38659,0.48,0.31,0.33
99,126,RUSBoost_Medium_Run_0,0.50,0.50,2027,1001,0.33,638224,38220,99686,26570,0.41,0.21,0.30
119,127,RUSBoost_Easy_Run_0,0.50,0.50,2026,1000,0.33,664033,12411,119254,7002,0.36,0.06,0.10
89,124,AdaBoost_Hard_Run_0,0.50,0.50,2010,1000,0.33,629737,46707,89933,36323,0.44,0.29,0.37
103,126,AdaBoost_Medium_Run_0,0.50,0.50,1955,1000,0.34,645894,30550,103762,22494,0.42,0.18,0.24
